nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,1441.1938781738281,1439.0298309326172,1452.7354736328125,1428.4500427246094,1462.5939025878906,1422.9197006225586,1462.5939025878906,1428.209587097168,,1424.8432998657227,1447.9264755249023,1433.0185852050781,1444.0792770385742,1431.094985961914,1438.7893829345703,,,726.2238464355469,729.5965232849121,730.3192443847656,745.7372055053711,745.4963073730469,752.7234802246094,762.8415298461914,739.2327575683594,,795.6047058105469,797.5319671630859,816.8044281005859,819.2134704589844,837.5223236083984,838.2450408935547
,,1446.486427307129,1444.651626586914,1459.5594024658203,1434.1015014648438,1469.192123413086,1434.3308486938477,1466.6692733764648,,,1430.2025451660156,1449.9266891479492,1441.8994216918945,1454.743049621582,,1441.4407196044922,,,723.8938255310059,728.7194900512695,728.4896926879883,746.4135894775391,743.6560668945312,768.2439727783203,766.4056243896484,,,793.7510528564453,797.4277496337891,810.2961730957031,819.7177124023438,,841.548095703125
1457.749038696289,,1454.289405822754,1451.2367858886719,1465.2788467407227,1440.0438385009766,1474.6402130126953,,1471.994613647461,,,1438.415771484375,1458.7665786743164,1445.7420654296875,1464.4648132324219,1441.061378479004,1446.1490783691406,725.7094879150391,,723.2642288208008,726.1170349121094,725.9132614135742,744.6603088378906,742.418815612793,,766.6677169799805,,,792.3430328369141,795.8071441650391,807.4221649169922,819.852294921875,831.0597534179688,837.7842407226562
1463.4153594970703,,1459.5767440795898,1456.3442153930664,1470.4865112304688,1445.232406616211,1479.9820556640625,1443.4141159057617,1476.143424987793,,,1445.232406616211,1465.8397598266602,1450.081199645996,1476.951560974121,1441.3937911987305,,722.2438926696777,,720.0154151916504,724.6749649047852,724.6749649047852,742.9079818725586,740.8820877075195,766.6109085083008,765.5979690551758,,,792.1371307373047,795.7837371826172,808.3442687988281,813.0037994384766,836.0989685058594,
,,1465.1696395874023,1461.9002151489258,1476.6126403808594,1451.2745742797852,1486.6252746582031,1448.2094802856445,1479.8820724487305,1484.5818786621094,1488.6686630249023,1452.704948425293,1474.7735900878906,1452.0919342041016,1486.2165832519531,1441.6706275939941,1476.6126403808594,,,716.9258651733398,721.6389389038086,721.8438568115234,741.1060028076172,740.0814208984375,764.0566482543945,765.6959838867188,772.6631317138672,773.8926467895508,789.8761291503906,792.3351135253906,810.7776031494141,808.5235137939453,842.1298065185547,837.2118225097656
1473.6821517944336,1476.999641418457,1470.572006225586,1466.8398132324219,1482.3905715942383,1456.2653045654297,1493.1724166870117,1456.2653045654297,1492.1357040405273,,,1461.4488906860352,1484.2566528320312,1455.8506240844727,1496.2825775146484,1447.3495445251465,1492.3430480957031,717.292667388916,715.8409843444824,715.8409843444824,720.818172454834,720.6107940673828,741.3490753173828,739.4826278686523,763.5390472412109,760.8430709838867,,,789.2545318603516,789.6692810058594,812.4814147949219,802.3196411132812,841.5150146484375,847.5291137695312
1479.5944595336914,1482.5603485107422,1475.9441299438477,1472.293800354004,1487.1232604980469,1462.0272521972656,1499.2149810791016,1459.2895126342773,1497.3898086547852,1459.9739456176758,,1467.7308959960938,1491.6861724853516,1462.9398345947266,1505.6030578613281,1454.4984512329102,1512.903709411621,717.863883972168,716.0345153808594,716.0345153808594,721.0652809143066,721.0652809143066,740.5023345947266,739.587646484375,768.6288909912109,759.9393768310547,773.4309844970703,,788.0659332275391,787.3799285888672,808.4176788330078,804.0729217529297,844.7764129638672,842.2610168457031
1483.7129516601562,1487.3996810913086,1480.763572692871,1477.5684127807617,1492.3153076171875,1466.7540283203125,1504.1128234863281,1462.821517944336,1516.156120300293,1476.0937271118164,1511.9778289794922,1476.0937271118164,1501.4092178344727,1466.2624588012695,1515.9103393554688,1465.770896911621,1530.657241821289,716.8528213500977,716.1145668029785,716.1145668029785,720.7901840209961,720.7901840209961,742.691764831543,740.4769897460938,767.3002700805664,762.6246643066406,764.8394317626953,762.1324920654297,793.1392211914062,790.1861877441406,806.1817321777344,811.5956115722656,845.5553588867188,840.3875732421875
1490.3285522460938,1493.3527221679688,1486.8003463745117,1483.0201263427734,1497.3849639892578,1473.1915550231934,1508.977638244629,1467.3952140808105,1526.114646911621,1483.0201263427734,1525.106590270996,1484.5322189331055,1507.7175598144531,1470.6714096069336,1524.8545684814453,1477.9798278808594,1549.0479736328125,722.3691177368164,720.6023254394531,720.6023254394531,722.8739166259766,722.6215171813965,743.5706253051758,743.318229675293,764.2673492431641,763.5101547241211,755.4333877563477,766.538932800293,794.3028259277344,790.0120468139648,804.3987884521484,815.2519226074219,846.0446166992188,843.2682342529297
1498.6221466064453,1499.6921157836914,1493.0048065185547,1488.4574432373047,1502.634521484375,1478.0252532958984,1513.3342056274414,1469.7330017089844,1533.1286163330078,1484.9800491333008,1530.9886856079102,1493.539794921875,1517.8815689086914,1475.8853225708008,1534.466079711914,1491.1323699951172,1561.4827728271484,725.5920791625977,723.9871826171875,723.4522171020508,727.4644584655762,727.1969757080078,746.7232284545898,746.1882705688477,770.5292129516602,767.0519332885742,767.8543853759766,768.3893508911133,799.9523315429688,794.8701477050781,807.9768218994141,818.6761322021484,847.5642852783203,845.4244232177734
