nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1408.0798434302933,1411.5556593395427,1408.5288943336136,1406.969742184595,1422.5228304181792,1397.897168114073,1431.2146519252246,1384.1523655482715,1443.2530408586788,1385.6207693190815,1452.1064460391103,1392.9630562918542,1410.2975732712532,1403.7546946207697,1399.4804425920772,1416.2665637788332,1411.3350045340417,722.6942610967733,728.2482957385841,727.5083859761563,731.8073408944274,731.9152679443366,745.2626949491962,751.0233030773352,743.24030049642,755.3485701424743,733.1907770066041,748.9534657796231,794.0669875372032,798.4320122855057,819.7851453508657,827.8429579961876,833.0077194940484,834.4037032354454
1414.1605329967692,1414.9852196829672,1415.6669024512894,1414.442657834009,1429.8319182623013,1405.8435647147055,1440.1379772367945,1392.2860467093344,1445.4477088564931,1395.4111048380546,1448.6306217738575,1403.6591571626223,1421.0314047677189,1411.821284339543,1418.0254022507454,1430.3143452235645,1427.9674308413564,722.9290208362404,727.639413924445,726.263128008162,732.3080734979546,731.4651222229011,746.4346607753216,749.5259977068226,743.7551890781954,755.1746949695413,734.8364804585781,741.0038444882355,794.4490338280095,797.660215831939,817.5007175263912,819.8869621640167,835.3900466192345,836.4475998651421
1419.4598025367386,1418.6254668462857,1424.5440317789726,1422.8580216907333,1437.5686765398311,1413.8170467558375,1448.4372660319023,1401.4064912341905,1448.8591112409333,1406.1808540707557,1447.169062296551,1412.8984236944302,1431.6762517293307,1418.3332312447696,1432.5429716564372,1434.8279745919376,1440.100332714264,722.7725143432624,726.8407739911768,725.7461831229081,732.1113177708224,731.4777846563437,746.6854585920069,748.5111178443552,744.0335896809902,758.183494749524,736.2261675880075,738.6499397641144,794.9703078497032,796.8007612682532,814.3666112990613,815.6345381963828,838.0001148042232,836.2617296491358
1420.1008104596833,1416.1044736589718,1432.4120926629944,1430.7927206130269,1445.5336169288287,1421.187896001908,1455.847299484981,1412.2892684936537,1453.3739060901476,1415.577193123955,1442.341973440989,1419.8637651715972,1439.668397449313,1421.6669518607018,1442.9867539178772,1433.857081095379,1438.9313725062793,722.4928025745216,727.0244289579853,725.5501142229359,731.6919185093477,731.2242989313042,746.6557933262422,747.2850494384772,749.2293668474476,762.7746814546138,739.2813562665674,740.7103961762934,795.01446678525,796.7598767961782,815.6230341593432,814.1216183617009,840.0533403669094,839.1720486595525
1426.519731067477,1424.6004358927423,1440.2761393955789,1438.3639802478622,1452.6961731683655,1428.0022125244154,1462.7228953043634,1421.0613250732436,1461.478139968147,1422.421230497816,1437.1760820661286,1425.6456433250805,1446.3710581461603,1429.0887956165145,1447.0085260300423,1433.6275678362178,1440.417421613422,723.2424269176672,724.9636548360196,725.352098737445,730.2497949146095,730.0228384108777,746.3146721976151,745.6060496738985,756.485917590914,766.9939827691949,739.1298918951134,740.1845743088502,794.4074852353058,796.6772711617614,813.063068208241,816.7489493233825,837.7792954217828,839.2401377360034
1435.5369604201558,1439.8514226277684,1447.4409844534753,1445.1391935802653,1459.087569463822,1434.1961600894033,1468.847808837892,1429.6631702241457,1467.6901833670495,1421.8799983433328,1446.3954711187466,1431.431784493584,1452.2556319463833,1441.3078388032473,1454.7110275995178,1435.3967891874781,1439.1854433332185,723.5864771888376,722.4611345926928,724.8596905299603,728.7464926583434,728.5226086207806,745.6555786132819,743.7890599568691,762.952097211566,765.3577455793115,736.0028657459084,748.2372142246797,793.8754090808694,796.7506357828784,810.9846122378402,818.5162920270656,835.5538482666024,839.3788263230106
1447.419071015859,1458.4255320231134,1453.7749117896683,1451.032731192454,1465.2727810087672,1440.0499045962392,1474.614850725448,1437.9559409731924,1471.0268514724016,1432.815580095565,1458.6373672485365,1437.540667579289,1458.3025352841346,1446.347580682665,1464.524719601587,1436.6331174941304,1444.449414934432,723.5249533880332,719.151059468588,722.4409651983359,726.1344322931207,726.3212817964106,744.4627187819715,742.2497460501542,767.4559627714618,766.267401559013,740.9167734781909,754.8468958536791,792.959777105423,796.7218904041116,809.2826639811205,817.547169276647,834.8914969308044,837.8328530447832
1459.8465536208394,1473.816606067477,1459.5567031133755,1456.4313605172308,1470.9946169172028,1445.461102440245,1480.5211032685793,1443.1671818324512,1476.2243619646358,1449.3439636230482,1473.6530151367201,1445.3884324573348,1465.973526727587,1449.471699669249,1476.0219770159053,1440.4902519952698,1455.1228085472485,723.7518962678462,716.2954206920813,719.8064845857173,724.1214274451853,723.9904701596222,743.1315551031211,740.9725814092734,767.2725906372077,766.1691553025025,750.3030867803672,764.3697713216153,791.4262077694855,794.0434751964758,808.8331923711876,814.0800069173185,836.3973657517214,839.0802655901236
1469.6688003540053,1482.1104365757546,1465.3943136306048,1461.836064656577,1476.524184817361,1451.0671666463231,1486.6790211995458,1448.671392168319,1481.4929409935376,1463.0840911865248,1484.3036499023451,1453.0890419369666,1474.8895260038844,1452.855067661832,1486.2770356677843,1443.671530042377,1471.438270568849,722.7273873828714,714.8968404134121,717.6904238746287,722.2361426580527,722.2379726228266,741.4553135463177,740.0243577503029,765.1822084699365,763.8228014991405,762.3744812011726,773.6522507440484,789.7585347493497,793.2018232799719,810.2362402053114,813.3671820504333,839.1402704148072,840.4108247302835
1472.3363680158354,1478.5166985648034,1470.4537193661658,1466.9650878906264,1482.010821024578,1456.3407908848367,1492.966542198546,1454.9574221656449,1489.964825221472,1473.8027910505036,1492.8184502011268,1460.5161772228435,1483.6825619652172,1457.0166193644218,1496.4210869925378,1447.2320445832765,1491.5963948567721,720.056532905216,715.4819010779978,715.6812386285699,720.9698128473199,721.0026797340037,740.9252820696156,739.3807591029583,765.5998789469409,762.0964675176718,771.8138522193553,775.6337999616358,789.2843540736615,792.3775569370822,810.5941757928765,812.7420479910722,842.9903172084272,841.9976821172813
1478.0327885945653,1481.9996167137524,1475.7318685622458,1472.269698370072,1487.326135544551,1461.866182418098,1498.9710726056794,1459.5270176842114,1501.472651527043,1479.0618093581443,1496.5033645629896,1468.2637656075626,1492.1823439825162,1461.410206022718,1505.845575241817,1454.9576595851368,1513.8117069062746,719.0936328342989,715.8880242847267,715.6963915143701,720.3031821477987,720.2626226516004,741.0728022257493,739.663307916551,765.529994782948,761.0809838431229,771.8641688028979,770.0061954316645,789.4848567417698,791.055005754744,808.7518870035815,813.8804484776097,844.4311378115708,842.7785753522609
1485.5742140270427,1487.520027160646,1481.4286001296284,1477.7470902942491,1492.463684445337,1467.2433911278147,1504.1444338843949,1463.407903035483,1513.9152752104274,1473.613221668063,1508.3065134684261,1476.15719095866,1500.48084150042,1466.807404654368,1516.0001584007641,1465.6050235203347,1531.4292580740807,718.9837937127983,717.226765587217,717.0722638084782,721.3253351847338,721.1658677600685,742.0295882452108,740.7628864106684,766.2698080880309,761.4033399309437,765.5604444231312,767.1135064987916,791.9618348621193,791.4300413585852,806.7757197788791,815.3905668712805,845.4702112107058,843.2322787330272
1490.9719666980577,1493.5900137765082,1487.0176071893616,1483.1357040405287,1497.4867077782055,1472.977519989015,1509.0361102876223,1466.5240031651101,1524.5788530622224,1478.3208650861482,1521.4433953421471,1484.8760590326233,1509.0058244977695,1471.1576814197374,1525.1993764241552,1478.2116677420495,1548.047407967705,721.1399583362405,720.2403695242753,720.0745460873566,723.4016569228406,723.3852971394863,743.9548575991683,743.0813326154444,767.6974247523724,763.8855394635889,761.7837785993311,766.0417941865473,794.7990708124078,791.8610698155002,805.7150820777538,815.3032680693134,846.5523935953784,842.4456678118033
1496.3098544166216,1498.7765317644407,1492.4319781348831,1488.0645428612133,1502.5701017833906,1478.2427927653007,1513.797565641859,1470.2686090015243,1534.1227783929749,1488.6861837477925,1532.5352641514385,1493.741779872351,1517.9365597679516,1474.255359286355,1533.4658624558238,1492.0173427036843,1560.2917168026893,725.9903878711525,724.2974755423415,723.6924462091362,727.1029679434647,726.8515281677253,747.1140561785023,746.6385534377332,769.5707488287071,767.193943568639,761.9999603998101,768.0544902256565,799.277886526926,793.4151647658582,806.8568333217083,817.0695611862917,846.5582071940112,844.8791220528747
1500.0528546287915,1503.2217109316884,1495.7030072893428,1492.304986499606,1506.7021825881247,1482.657561710904,1518.3123070853112,1475.18754668463,1539.5309114002062,1490.545977092926,1537.4698061261872,1502.249336969286,1525.9800563993922,1477.9500167483388,1539.2747217814142,1504.080088660832,1567.9692252022896,729.7393361046207,728.8727836608894,729.0034784589502,731.976143246606,731.3941005525141,751.1826030186252,750.9306909470338,774.6159991309764,771.5362359909791,767.545842851912,772.9329328991125,803.4417935325994,797.779475257511,809.1623070126495,819.6747480119986,846.6093117850176,846.875807989212
1502.402837480819,1506.060695829847,1498.217079162599,1495.5628026326513,1509.9286331903381,1486.2038794017988,1522.1906018938353,1481.3809932527101,1543.056884402322,1491.8777360462022,1540.9032589140406,1509.52886417934,1533.0869925362738,1481.3916907537564,1544.1732304890966,1512.4649945213696,1570.814851306735,733.0308436439158,732.1837427048463,732.5460659208759,736.366111210415,735.7484997340619,755.7447266351617,754.887511480423,781.8991517566507,775.7014537992939,774.466373988561,777.1514264061345,806.8082842145654,801.467593965077,811.4804949079248,821.5128682454435,846.5113823300323,847.1566489083434
1503.6670583089208,1507.4355258033402,1499.8661822364456,1497.5217895507826,1511.8845745268336,1489.5053155081628,1525.4401263282427,1487.06610670544,1543.9783830188585,1493.1718482971205,1543.2328204200396,1514.9878580002571,1537.5411057245178,1484.3205074128664,1545.6829942975742,1516.334005083358,1571.7994820731042,736.1198463439948,734.3552504039953,735.5594055539093,739.821385701498,738.8691587902258,759.8438041323715,758.1114629109708,787.4551104591014,779.0991145542697,775.9091386340921,785.2938526698529,808.9334807623009,804.2138134184345,812.5504738943926,821.41021510533,846.438735961915,847.4948120117195
1505.2641499837255,1508.1147086733877,1500.9810057140548,1498.8530702136827,1512.9287131173285,1492.1798537118107,1527.2476686750156,1491.6497706458695,1542.4134110950304,1491.5749186561234,1543.9678057716021,1517.9817265101856,1540.1851490565723,1486.2515140715113,1546.194416591101,1516.3064546130968,1572.0743836902452,738.182130541121,735.0471563793371,737.4597683861149,742.2611151195715,740.9992121741893,763.1946549188531,760.2318220592688,792.4955037434904,781.0616734822597,782.839780171713,793.9532161894306,810.3943179902583,806.257057916551,813.1491808210108,821.1898592994335,846.383109683083,847.7544039771678
1505.9687165759874,1508.0126924060653,1500.795285906112,1498.85349854969,1512.7625881376734,1494.1405835832882,1527.2667247227273,1495.127857026601,1540.5264431181422,1489.9919876825256,1543.8577521187933,1520.410869053433,1541.3576543898826,1485.8367807297493,1544.9312616984064,1514.272342500234,1571.196865263441,739.7082739330481,735.1865846543092,738.6787074861079,743.902002062117,742.6157798767097,765.299876621792,761.1490830920998,795.1843810308555,781.7029953002937,788.9788582211456,801.580992562431,810.2057694934672,806.5357477097291,813.2904081798742,820.2778036934997,845.9909391857336,846.8133428664443
